IDG Capital,Nutrinsic,Series C,2014-08-14
IDG Capital,Maimai,Series B,2014-08-14
IDG Capital,Womai,Series B,2014-08-05
IDG Capital,Helijia,Series A,2014-07-29
IDG Capital,Yuanfudao,Series C,2014-07-22
IDG Capital,Yuantiku,Series C,2014-07-22
IDG Capital,Yetang,Angel,2014-07-15
IDG Capital,FXiaoKe,Series B,2014-07-13
IDG Capital,Landscape Mobile,Seed,2014-07-11
IDG Capital,YouChe.com,Series A,2014-07-07
IDG Capital,Coding,Series A,2014-07-01
IDG Capital,Light Chaser Animation,Series B,2014-06-20
IDG Capital,Tapatalk,Seed,2014-06-16
IDG Capital,DewMobile,Series B,2014-06-06
IDG Capital,Mogujie,Series D,2014-06-06
IDG Capital,Zapya,Series B,2014-06-04
IDG Capital,App Annie,Series D,2014-05-28
IDG Capital,Smartling,Series D,2014-05-21
IDG Capital,Akulaku,Seed,2014-05-10
IDG Capital,Mizhe.com,Series B,2014-05-01
IDG Capital,Xunlei,Venture - Series Unknown,2014-04-06
IDG Capital,HunterOn,Series A,2014-04-01
IDG Capital,Enjoy,Series B,2014-03-31
IDG Capital,Haoqiao.cn,Angel,2014-03-01
IDG Capital,Three Squirrels,Series C,2014-03-01
IDG Capital,Midverse Studios,Venture - Series Unknown,2014-02-28
IDG Capital,VANCL,Series G,2014-02-10
IDG Capital,Tongdun Technology,Series A,2014-02-01
IDG Capital,INMAN,Series A,2014-02-01
IDG Capital,Yinman,Venture - Series Unknown,2014-02-01
IDG Capital,Next Games,Series A,2014-01-28
IDG Capital,Keen Systems,Series A,2014-01-13
IDG Capital,Kujiale,Series A,2014-01-05
IDG Capital,Rokid,Angel,2014-01-01
IDG Capital,SegmentFault,Angel,2014-01-01
IDG Capital,Mogoroom,Series A,2014-01-01
IDG Capital,Guokr,Series B,2013-12-31
IDG Capital,Yoka,Series D,2013-12-24
IDG Capital,Tongbanjie,Series A,2013-12-10
IDG Capital,VANCL,Series G,2013-11-12
IDG Capital,Ripple,Seed,2013-11-12
IDG Capital,FraudMetrix,Series A,2013-11-01
IDG Capital,Wacai,Series A,2013-09-23
IDG Capital,App Annie,Series C,2013-09-18
IDG Capital,Ejoy Technology,Venture - Series Unknown,2013-08-20
IDG Capital,Yuanfudao,Series B,2013-08-01
IDG Capital,Secoo,Series C,2013-08-01
IDG Capital,Yuantiku,Series B,2013-08-01
IDG Capital,Ejoy Technology,Series A,2013-08-01
IDG Capital,Baifendian,Series B,2013-07-26
IDG Capital,Sxbbm,Series A,2013-06-01
IDG Capital,weipass,Series A,2013-06-01
IDG Capital,Ripple,Angel,2013-05-14
IDG Capital,Three Squirrels,Series B,2013-05-01
IDG Capital,Beiang Technology,Series A,2013-05-01
IDG Capital,Bangcle Security,Series B,2013-04-01
IDG Capital,Youtuo,Venture - Series Unknown,2013-03-01
IDG Capital,Mizhe.com,Series A,2013-01-11
IDG Capital,Tongdun Technology,Angel,2013-01-01
IDG Capital,Bamatea,Series A,2013-01-01
IDG Capital,Mogujie,Series C,2012-10-01
IDG Capital,Testin,Series A,2012-09-01
IDG Capital,App Annie,Series B,2012-08-14
IDG Capital,Yuantiku,Series A,2012-08-01
IDG Capital,Yuanfudao,Series A,2012-08-01
IDG Capital,iMedia Comunicazione,Series B,2012-07-12
IDG Capital,FXiaoKe,Series A,2012-07-01
IDG Capital,Doujiao,Angel,2012-07-01
IDG Capital,Zhou Heiya,Series B,2012-07-01
IDG Capital,FClub,Series C,2012-07-01
IDG Capital,Three Squirrels,Series A,2012-06-01
IDG Capital,Secoo,Series B,2012-05-09
IDG Capital,Cloudacc,Angel,2012-05-01
IDG Capital,Legendary Entertainment,Private Equity,2012-04-04
IDG Capital,Limei Advertising,Series B,2012-04-01
IDG Capital,FClub,Series B,2012-03-01
IDG Capital,Yek Mobile,Series B,2012-02-01
IDG Capital,Sxbbm,Angel,2012-01-01
IDG Capital,SurDoc,Venture - Series Unknown,2011-12-21
IDG Capital,Xiaomi,Series B,2011-12-20
IDG Capital,Razer,Venture - Series Unknown,2011-12-20
IDG Capital,91 Boyuan Wireless,Series B,2011-12-01
IDG Capital,Zhiwo,Series B,2011-12-01
IDG Capital,Baiyaxuan,Venture - Series Unknown,2011-12-01
IDG Capital,Animoca,Series A,2011-11-15
IDG Capital,Large Business District Networking,Venture - Series Unknown,2011-11-01
IDG Capital,Leho,Venture - Series Unknown,2011-11-01
IDG Capital,Testin,Venture - Series Unknown,2011-11-01
IDG Capital,Mapbar,Series C,2011-11-01
IDG Capital,Wistone,Series B,2011-11-01
IDG Capital,Yi Ji Electrical Appliance,Series A,2011-09-01
IDG Capital,Motor2,Venture - Series Unknown,2011-09-01
IDG Capital,Minus,Seed,2011-08-02
IDG Capital,CC video,Series B,2011-08-02
IDG Capital,Secoo,Series A,2011-07-20
IDG Capital,Xiaomi,Series A,2011-07-12
IDG Capital,App Annie,Series A,2011-07-07
IDG Capital,Baifendian,Series A,2011-07-01
IDG Capital,Limei Advertising,Series A,2011-07-01
IDG Capital,VANCL,Series F,2011-07-01
IDG Capital,Wanshen,Series A,2011-06-01
IDG Capital,Wondershare Software,Series B,2011-06-01
IDG Capital,UYA100,Series A,2011-06-01
IDG Capital,Funzio,Series A,2011-05-05
IDG Capital,My 1%,Series A,2011-05-01
IDG Capital,Yoka,Series C,2011-05-01
IDG Capital,CreditEase,Series B,2011-05-01
IDG Capital,Zhubajie,Series B,2011-04-07
IDG Capital,Shineon,Series C,2011-04-01
IDG Capital,HSTYLE,Series A,2011-04-01
IDG Capital,Aigou,Series B,2011-03-01
IDG Capital,Yek Mobile,Series A,2011-01-01
IDG Capital,Green A,Venture - Series Unknown,2011-01-01
IDG Capital,Ihaveu.com,Venture - Series Unknown,2010-12-28
IDG Capital,VANCL,Series E,2010-12-01
IDG Capital,Shineon,Series B,2010-12-01
IDG Capital,China Garment,Venture - Series Unknown,2010-12-01
IDG Capital,Didatuan,Series A,2010-11-01
IDG Capital,BizArk,Venture - Series Unknown,2010-08-30
IDG Capital,"Superdata Software Technology (Guangzhou) Co., Ltd.",Series D,2010-08-02
IDG Capital,2Duche,Venture - Series Unknown,2010-08-01
IDG Capital,Jiubang Digital Technology Co.,Series C,2010-07-06
IDG Capital,Bangcle Security,Series A,2010-07-01
IDG Capital,Sungy Mobile,Series C,2010-07-01
IDG Capital,Sokoos,Venture - Series Unknown,2010-04-01
IDG Capital,Daqi,Series C,2010-03-01
IDG Capital,Yi Ji Electrical Appliance,Angel,2010-03-01
IDG Capital,ArcherMind Technology,Series A,2010-02-01
IDG Capital,51edu,Series B,2010-01-01
IDG Capital,Cnano Technology,Series B,2010-01-01
IDG Capital,Dovo,Series B,2010-01-01
IDG Capital,L99.com,Series A,2010-01-01
IDG Capital,BizArk,Series A,2010-01-01
IDG Capital,Yoka,Series B,2009-12-01
IDG Capital,MoSo,Series B,2009-11-01
IDG Capital,Elite Education Media Group,Series A,2009-10-01
IDG Capital,Bosideng,Private Equity,2009-09-01
IDG Capital,shenzhoufu,Series B,2009-07-01
IDG Capital,TechFaith Wireless Technology,Venture - Series Unknown,2009-05-19
IDG Capital,Dexin Interactive,Series A,2009-05-01
IDG Capital,Wistone,Series A,2009-04-01
IDG Capital,Aigou,Series A,2009-03-01
IDG Capital,Baofeng,Venture - Series Unknown,2008-11-28
IDG Capital,Heidi Coast Advertising,Series D,2008-11-01
IDG Capital,Storm Player,Series C,2008-11-01
IDG Capital,IGG,Series B,2008-11-01
IDG Capital,Tarena,Series C,2008-11-01
IDG Capital,KDW,Series C,2008-09-01
IDG Capital,Chamate,Series C,2008-09-01
IDG Capital,Jassie ali,Series D,2008-08-05
IDG Capital,shenzhoufu,Series A,2008-08-01
IDG Capital,Tang Song,Series B,2008-07-01
IDG Capital,Lang Ma,Series C,2008-05-01
IDG Capital,Tudou,Series D,2008-04-28
IDG Capital,Quintic,Series B,2008-04-01
IDG Capital,Competitor,Series A,2008-04-01
IDG Capital,Jingshi Wanwei,Series B,2008-03-01
IDG Capital,ParaEngine,Series C,2008-02-01
IDG Capital,IGG,Series A,2008-01-02
IDG Capital,MMIM Technologies (PICA),Series C,2008-01-01
IDG Capital,Kang Hui Medical Instrument,Series B,2008-01-01
IDG Capital,Han grass biomass,Series A,2008-01-01
IDG Capital,CC video,Venture - Series Unknown,2008-01-01
IDG Capital,Sundia MediTech,Series B,2008-01-01
IDG Capital,ParaEngine,Series A,2007-12-01
IDG Capital,5173.com,Venture - Series Unknown,2007-12-01
IDG Capital,CAXA,Series A,2007-12-01
IDG Capital,Motor2,Series A,2007-12-01
IDG Capital,VeriSilicon Holdings,Series D,2007-11-06
IDG Capital,Goldcoll Games,Series A,2007-11-01
IDG Capital,Hintsoft,Series B,2007-10-01
IDG Capital,Mobivox,Series A,2007-10-01
IDG Capital,Hua Kang,Venture - Series Unknown,2007-10-01
IDG Capital,BBspace,Venture - Series Unknown,2007-09-20
IDG Capital,Tang Song,Series A,2007-09-01
IDG Capital,Large Business District Networking,Venture - Series Unknown,2007-09-01
IDG Capital,Analogix Semiconductor,Series B,2007-08-29
IDG Capital,Yee Care,Series B,2007-08-01
IDG Capital,Tudou,Series C,2007-07-16
IDG Capital,Heidi Coast Advertising,Series C,2007-07-01
IDG Capital,RDA Microelectronics,Series B,2007-07-01
IDG Capital,Tiansheng,Series B,2007-07-01
IDG Capital,QX Corporation,Series A,2007-06-01
IDG Capital,Jingshi Wanwei,Series A,2007-06-01
IDG Capital,Chenghai Technology,Series A,2007-05-01
IDG Capital,TianKe Information Technology,Series A,2007-05-01
IDG Capital,Linekong,Series A,2007-05-01
IDG Capital,Yingke Industrial,Series A,2007-04-01
IDG Capital,Ocean Butterflies,Series B,2007-04-01
IDG Capital,Storm Player,Series B,2007-04-01
IDG Capital,Daqi,Series B,2007-04-01
IDG Capital,39 net,Venture - Series Unknown,2007-03-01
IDG Capital,Zonbo Media,Series C,2007-03-01
IDG Capital,139shop,Series A,2007-02-01
IDG Capital,3GV8 International Inc,Venture - Series Unknown,2007-02-01
IDG Capital,Xunlei,Series C,2007-01-05
IDG Capital,NetDragon Websoft,Series B,2007-01-01
IDG Capital,Cyzone,Series A,2007-01-01
IDG Capital,Tian Ge Interactive Holdings,Series A,2007-01-01
IDG Capital,Gammastar Medical Group,Series A,2007-01-01
IDG Capital,MIG China,Series B,2007-01-01
IDG Capital,Chamate,Series B,2006-12-15
IDG Capital,China Communications Services Corporation,Private Equity,2006-12-14
IDG Capital,Wupima,Series A,2006-11-06
IDG Capital,Qihoo 360 Technology,Series B,2006-11-01
IDG Capital,Kaola100,Series A,2006-11-01
IDG Capital,Storm Player,Series A,2006-10-01
IDG Capital,Super Ele&Tec,Series A,2006-10-01
IDG Capital,Amlogic,Series A,2006-09-01
IDG Capital,Lang Ma,Series B,2006-09-01
IDG Capital,Yoka,Venture - Series Unknown,2006-08-01
IDG Capital,Wiscomm Microsystems,Series A,2006-07-27
IDG Capital,DangDang.com,Series C,2006-07-06
IDG Capital,Kang Hui Medical Instrument,Series A,2006-07-01
IDG Capital,Fangtek,Series C,2006-06-08
IDG Capital,2Duche,Venture - Series Unknown,2006-06-01
IDG Capital,Zonbo Media,Series B,2006-06-01
IDG Capital,BitComet,Series A,2006-06-01
IDG Capital,Funinhand,Series B,2006-06-01
IDG Capital,Tarena,Series B,2006-06-01
IDG Capital,ItrybeforeIbuy,Series A,2006-04-01
IDG Capital,Yi De,Series A,2006-04-01
IDG Capital,39 net,Venture - Series Unknown,2006-03-01
IDG Capital,3GV8 International Inc,Series A,2006-03-01
IDG Capital,Ocean Butterflies,Series A,2006-03-01
IDG Capital,Qihoo 360 Technology,Series A,2006-01-01
IDG Capital,Busap,Series B,2006-01-01
IDG Capital,DigiFun Games,Series B,2006-01-01
IDG Capital,New Channel Online School,Venture - Series Unknown,2006-01-01
IDG Capital,51edu,Series A,2006-01-01
IDG Capital,MMIM Technologies (PICA),Series B,2005-12-01
IDG Capital,Mapbar,Series A,2005-11-01
IDG Capital,BlogCN,Series C,2005-11-01
IDG Capital,BlogCN,Series B,2005-10-01
IDG Capital,Bokee,Series D,2005-10-01
IDG Capital,Chamate,Series A,2005-10-01
IDG Capital,Allyes Advertisement Network,Series B,2005-09-01
IDG Capital,VeriSilicon Holdings,Series B,2005-08-01
IDG Capital,MobilePeak,Series A,2005-08-01
IDG Capital,Sundia MediTech,Series A,2005-07-01
IDG Capital,Hintsoft,Series A,2005-07-01
IDG Capital,Analogix Semiconductor,Series B,2005-06-30
IDG Capital,Heidi Coast Advertising,Series A,2005-06-01
IDG Capital,Search Million Culture,Series A,2005-05-01
IDG Capital,Xunlei,Series B,2005-05-01
IDG Capital,Emay Softcom,Venture - Series Unknown,2005-04-01
IDG Capital,Aircom,Series B,2005-03-01
IDG Capital,Dacheng Network,Series B,2005-03-01
IDG Capital,HiChina,Series B,2005-03-01
IDG Capital,Daqi,Series A,2005-01-01
IDG Capital,5173.com,Series B,2005-01-01
IDG Capital,Xiaoi Robot,Series B,2005-01-01
IDG Capital,Bokee,Series A,2004-12-01
IDG Capital,265 Network,Venture - Series Unknown,2004-12-01
IDG Capital,Framedia Advertising,Venture - Series Unknown,2004-11-01
IDG Capital,NetDragon Websoft,Series A,2004-10-01
IDG Capital,A8 Digital Music,Series A,2004-10-01
IDG Capital,MMIM Technologies (PICA),Series A,2004-10-01
IDG Capital,BlogCN,Series A,2004-07-01
IDG Capital,Funinhand,Series A,2004-07-01
IDG Capital,Tarena,Series A,2004-03-01
IDG Capital,5173.com,Venture - Series Unknown,2004-03-01
IDG Capital,365webcall,Series A,2004-03-01
IDG Capital,DigiFun Games,Series A,2004-02-01
IDG Capital,Emay Softcom,Venture - Series Unknown,2004-01-01
IDG Capital,Xunlei,Series A,2004-01-01
IDG Capital,Sunsea,Series A,2003-11-01
IDG Capital,Home Inns,Series B,2003-11-01
IDG Capital,Dovo,Series A,2003-05-01
IDG Capital,VeriSilicon Holdings,Series A,2003-03-01
IDG Capital,Home Inns,Series A,2003-02-01
IDG Capital,Zonbo Media,Venture - Series Unknown,2003-01-01
IDG Capital,Emay Softcom,Venture - Series Unknown,2003-01-01
IDG Capital,Beijing Booksir,Venture - Series Unknown,2002-09-01
IDG Capital,Aircom,Series A,2002-04-01
IDG Capital,Tarena,Angel,2002-03-01
IDG Capital,CreaWor,Venture - Series Unknown,2001-02-01
IDG Capital,Lang Ma,Series A,2001-02-01
IDG Capital,Eastide,Venture - Series Unknown,2001-01-01
IDG Capital,QQTechnology,Venture - Series Unknown,2001-01-01
IDG Capital,Chinaedu,Series A,2000-10-01
IDG Capital,YGSOFT,Venture - Series Unknown,2000-10-01
IDG Capital,Baidu,Series B,2000-09-01
IDG Capital,Tavolo,Venture - Series Unknown,2000-04-14
IDG Capital,Eastide,Series A,2000-04-01
IDG Capital,Tencent Holdings,Venture - Series Unknown,2000-04-01
IDG Capital,Yee Care,Venture - Series Unknown,2000-04-01
IDG Capital,Ctrip,Series A,2000-03-01
IDG Capital,YABUY,Series A,2000-02-01
IDG Capital,DangDang.com,Series A,2000-02-01
IDG Capital,Allyes Advertisement Network,Series A,2000-01-01
IDG Capital,"Superdata Software Technology (Guangzhou) Co., Ltd.",Series C,2000-01-01
IDG Capital,Boomsense,Series A,1999-12-01
IDG Capital,Kingdee,Series B,1999-11-01
IDG Capital,Ctrip,Seed,1999-10-01
IDG Capital,Tongtech,Venture - Series Unknown,1999-07-01
IDG Capital,Soufun,Series A,1999-06-01
IDG Capital,"Superdata Software Technology (Guangzhou) Co., Ltd.",Series B,1999-04-01
IDG Capital,HiChina,Venture - Series Unknown,1999-02-01
IDG Capital,EachNet,Series B,1999-01-01
IDG Capital,Guanri,Series A,1999-01-01
IDG Capital,Zhengtai Data,Series A,1999-01-01
IDG Capital,kingsky,Series A,1999-01-01
IDG Capital,Kingdee,Series A,1998-05-01
IDG Capital,Sohu.com,Series A,1998-04-01
IDG Capital,Shipu,Series A,1997-12-01
IDG Capital,Mtone Wireless,Series C,1997-01-01
IDG Capital,Qiandao,Series B,1996-08-01
IDG Capital,Watsin,Series A,1996-01-01
IDG Capital,Suo Yi,Series A,1995-05-01
