Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location
"Shanghai Fosun Pharmaceutical (Group) Co.,Ltd",https://www.crunchbase.com/organization/shanghai-fosun-pharmaceutical,10,2,"Shanghai, Shanghai, China"
JD Capital,https://www.crunchbase.com/organization/jd-capital,10,1,"Beijing, Beijing, China"
China Renaissance,https://www.crunchbase.com/organization/china-renaissance,10,2,"Beijing, Beijing, China"
Cenova Ventures,https://www.crunchbase.com/organization/cenova-ventures,10,1,"Shanghai, Shanghai, China"
TCL Capital,https://www.crunchbase.com/organization/tcl-capital,10,,"Huizhou, Guangdong, China"
LH Capital Mangement (Shanghai),https://www.crunchbase.com/organization/lighthouse-capital-mangement--shanghai-,10,,"Shanghai, Shanghai, China"
BioVeda China Fund,https://www.crunchbase.com/organization/bioveda-china-fund,10,2,"Shanghai, Shanghai, China"
Xianghe Capital,https://www.crunchbase.com/organization/xianghe-capital,10,1,"Beijing, Beijing, China"
Oriza Seed Capital,https://www.crunchbase.com/organization/oriza-seed-capital,10,,"Suzhou, Jiangsu, China"
Qianhai Wutong Mergers and Acquisitions Funds,https://www.crunchbase.com/organization/qianhai-wutong-mergers,10,,"Shenzhen, Guangdong, China"
Sunac China Holdings,https://www.crunchbase.com/organization/sunac-china-holdings,9,1,"Tianjin, Guangdong, China"
Legend Holdings,https://www.crunchbase.com/organization/legend-holdings,9,1,"Beijing, Beijing, China"
FIH Mobile,https://www.crunchbase.com/organization/fih-mobile,9,2,"Langfang, Hebei, China"
WANDA Group,https://www.crunchbase.com/organization/wanda-group,9,2,"Beijing, Beijing, China"
CITIC Securities,https://www.crunchbase.com/organization/citic-securities,9,2,"Shenzhen, Guangdong, China"
Tiger Fund,https://www.crunchbase.com/organization/tiger-fund,9,4,"Beijing, Beijing, China"
TusPark Ventures,https://www.crunchbase.com/organization/tuspark-ventures,9,2,"Haidian, Beijing, China"
23Seed,https://www.crunchbase.com/organization/23seed,9,1,"Shanghai, Shanghai, China"
Cyril Vermeulen,https://www.crunchbase.com/person/cyril-vermeulen,9,1,"Shanghai, Shanghai, China"
Shenzhen Fortune Venture Capital,https://www.crunchbase.com/organization/shenzhen-fortune-venture-capital,9,1,"Shenzhen, Guangdong, China"
Taishan Invest AG,https://www.crunchbase.com/organization/taishan-invest-ag,9,,"Beijing, Beijing, China"
9F Group,https://www.crunchbase.com/organization/9f-fintech-holdings-group,8,,"Beijing, Beijing, China"
iDreamsky Technology,https://www.crunchbase.com/organization/idreamsky-technology,8,2,"Shenzhen, Guangdong, China"
NIO Capital,https://www.crunchbase.com/organization/nio-capital,8,,"Shanghai, Shanghai, China"
NetEase Capital,https://www.crunchbase.com/organization/netease-capital,8,,"Beijing, Beijing, China"
Iflytek (Keda Xunfei),https://www.crunchbase.com/organization/anhui-ustc-iflytek-science-and-technology-co-ltd,8,,"Hefei, Anhui, China"
GF Xinde Investment Management,https://www.crunchbase.com/organization/gf-xinde-investment-management,8,1,"Guangzhou, Guangdong, China"
PurpleSky Capital,https://www.crunchbase.com/organization/purplesky-capital,8,1,"Shanghai, Shanghai, China"
Tsing Ventures,https://www.crunchbase.com/organization/tsing-ventures,8,,"Beijing, Beijing, China"
Innohub Capital,https://www.crunchbase.com/organization/innohub-capital-3,8,,"Shenzhen, Guangdong, China"
Capital Nuts Investment Management Ltd,https://www.crunchbase.com/organization/capital-nuts,8,,"Xiamen, Fujian, China"
Ferry Venture Capital,https://www.crunchbase.com/organization/ferry-vc,8,,"Shanghai, Shanghai, China"
Origo Sino-India,https://www.crunchbase.com/organization/origo-sino-india,8,1,"Beijing, Beijing, China"
United Capital Investment Group Limited,https://www.crunchbase.com/organization/united-capital-investment-group-limited,8,1,"Shanghai, Shanghai, China"
Greenwoods Investment,https://www.crunchbase.com/organization/greenwoods-investment,8,1,"Shanghai, Shanghai, China"
Yuansheng BioVenture,https://www.crunchbase.com/organization/sungent-bioventure,8,1,"Suzhou, Jiangsu, China"
China Investment Corporation,https://www.crunchbase.com/organization/china-investment-corporation,7,2,"Beijing, Beijing, China"
NetEase,https://www.crunchbase.com/organization/netease-com,7,1,"Hangzhou, Zhejiang, China"
Bank of China,https://www.crunchbase.com/organization/bank-of-china,7,1,"Beijing, Beijing, China"
Creadev,https://www.crunchbase.com/organization/creadev,7,1,"Shanghai, Shanghai, China"
10Fund,https://www.crunchbase.com/organization/10fund,7,,"Beijing, Beijing, China"
Huagai Capital,https://www.crunchbase.com/organization/huagai-capital,7,,"Beijing, Beijing, China"
China Minsheng Bank,https://www.crunchbase.com/organization/china-minsheng-bank,7,3,"Beijing, Beijing, China"
Funcity Capital,https://www.crunchbase.com/organization/funcity-capital,7,0,"Hangzhou, Zhejiang, China"
Shenzhen Leaguer Venture Capital,https://www.crunchbase.com/organization/shenzhen-leaguer-venture-capital,7,,"Shenzhen, Guangdong, China"
Delta Capital,https://www.crunchbase.com/organization/delta-capital-2,7,,"Shanghai, Shanghai, China"
Newgen Venture Partners,https://www.crunchbase.com/organization/newgen-venture-capital,7,,"Shanghai, Shanghai, China"
State Development & Investment Corporation (SDIC),https://www.crunchbase.com/organization/state-development-investment-corporation-sdic,7,2,"Beijing, Beijing, China"
Hermed Capital,https://www.crunchbase.com/organization/hermed-capital,7,1,"Shanghai, Shanghai, China"
PGA Venture Partners,https://www.crunchbase.com/organization/pga-venture-partners,7,,"Shanghai, Shanghai, China"
Vangoo Investment Partners,https://www.crunchbase.com/organization/vangoo-investment-partners,7,1,"Beijing, Beijing, China"
Cainiao Logistics,https://www.crunchbase.com/organization/cainiao-logistics,6,2,"Shenzhen, Guangdong, China"
Huobi,https://www.crunchbase.com/organization/huobi,6,,"Beijing, Beijing, China"
Ucommune,https://www.crunchbase.com/organization/urwork,6,,"Beijing, Beijing, China"
Focus Media,https://www.crunchbase.com/organization/focus-media-2,6,1,"Shanghai, Shanghai, China"
Huayi Brothers Media Group,https://www.crunchbase.com/organization/huayi-brothers-media-group,6,1,"Beijing, Beijing, China"
S.F. Express,https://www.crunchbase.com/organization/s-f-express,6,,"Guangdong, Jilin, China"
Jun Lei,https://www.crunchbase.com/person/lei-jun,6,,"Beijing, Beijing, China"
China CITIC Bank,https://www.crunchbase.com/organization/china-citic-bank,6,,"Beijing, Beijing, China"
Bo Shen,https://www.crunchbase.com/person/bo-shen-2,6,,"Jingan, Shanghai, China"
FutureCap,https://www.crunchbase.com/organization/futurecap-e45d,6,1,"Beijing, Beijing, China"
LYZZ Capital,https://www.crunchbase.com/organization/lyzz-capital,6,1,"Shanghai, Shanghai, China"
China Life Insurance,https://www.crunchbase.com/organization/china-life-insurance,6,1,"Beijing, Beijing, China"
Hugo Barra,https://www.crunchbase.com/person/hugo-barra,6,,"Beijing, Beijing, China"
Wang Gang,https://www.crunchbase.com/person/wang-gang,6,,"Hangzhou, Zhejiang, China"
Junsan Capital,https://www.crunchbase.com/organization/junsan-capital,6,,"Shenzhen, Guangdong, China"
Zhizhuo Capital,https://www.crunchbase.com/organization/zhizhuo-cap,6,1,"Shanghai, Shanghai, China"
Yinxinggu Capital,https://www.crunchbase.com/organization/yinxinggu-capital,6,,"Hangzhou, Zhejiang, China"
The9,https://www.crunchbase.com/organization/the9,6,1,"Shanghai, Shanghai, China"
GEOC,https://www.crunchbase.com/organization/geoc-hengtong-investment-limited-partnership,6,,"Shanghai, Shanghai, China"
Zhongguancun Development Group,https://www.crunchbase.com/organization/zhongguancun-development-group,6,,"Beijing, Beijing, China"
Frontline BioVentures,https://www.crunchbase.com/organization/frontline-bioventures,6,2,"Shanghai, Shanghai, China"
Haitong Kaiyuan Investment,https://www.crunchbase.com/organization/haitong-kaiyuan-investment,6,,"Shanghai, Shanghai, China"
VenturesLab,https://www.crunchbase.com/organization/ventureslab,6,,"Beijing, Beijing, China"
Venture TDF,https://www.crunchbase.com/organization/venture-tdf,6,4,"Shanghai, Shanghai, China"
Shengjing Group,https://www.crunchbase.com/organization/shengjing-group,6,,"Beijing, Beijing, China"
Jingwei Investments,https://www.crunchbase.com/organization/jingwei-investments,6,,"Shenzhen, Guangdong, China"
Danen Ventures,https://www.crunchbase.com/organization/danen-ventures-2,6,,"Haidian, Beijing, China"
SenseTime,https://www.crunchbase.com/organization/sensetime,5,,"Beijing, Beijing, China"
58.com,https://www.crunchbase.com/organization/58-com,5,,"Chaoyang, Liaoning, China"
Sogou,https://www.crunchbase.com/organization/sogou,5,,"Beijing, Beijing, China"
iCarbonX,https://www.crunchbase.com/organization/icarbonx,5,,"Shenzhen, Guangdong, China"
Koubei.com,https://www.crunchbase.com/organization/koubei,5,,"Hangzhou, Zhejiang, China"
Suning Holdings Group,https://www.crunchbase.com/organization/suning,5,1,"Nanjing, Jiangsu, China"
51 Credit Card Manager,https://www.crunchbase.com/organization/51-credit-card-manager,5,,"Hangzhou, Zhejiang, China"
LeEco,https://www.crunchbase.com/organization/letv,5,,"Beijing, Beijing, China"
